Year,Country,Happiness Score
2020,saudi arabia,6.494
2019,saudi arabia,6.4064998626709
2018,saudi arabia,6.375
2017,saudi arabia,6.371
2016,saudi arabia,6.344
2015,saudi arabia,6.379
2024,kenya,4.51
2023,senegal,4.969
2022,senegal,4.855
2021,senegal,5.046
2020,senegal,5.132
2019,senegal,4.98080015182495
2018,senegal,4.681
2017,senegal,4.631
2016,senegal,4.535
2015,senegal,4.219
2024,uganda,4.461
2023,serbia,6.411
2022,serbia,6.144
2021,serbia,6.178
2020,serbia,6.078
2019,serbia,5.77820014953613
2018,serbia,5.603
2017,serbia,5.398
2016,serbia,5.395
2015,serbia,5.177
2024,"gambia, the",4.423
2023,sierra leone,3.245
2022,sierra leone,3.138
2021,sierra leone,3.574
2020,sierra leone,3.849
2019,sierra leone,3.92639994621277
2018,sierra leone,4.374
2017,sierra leone,4.571
2016,sierra leone,4.709
2015,sierra leone,4.635
2024,india,4.389
2023,singapore,6.523
2022,singapore,6.587
2021,singapore,6.48
2020,singapore,6.377
2019,singapore,6.37709999084473
2018,singapore,6.262
2017,singapore,6.343
2016,singapore,6.572
2015,singapore,6.739
2024,chad,4.384
2023,slovak republic,6.257
2022,slovak republic,6.469
2021,slovak republic,6.391
2020,slovak republic,6.331
2019,slovak republic,6.28060007095337
2018,slovak republic,6.198
2017,slovak republic,6.173
2016,slovak republic,6.098
2015,slovak republic,6.078
2024,burkina faso,4.383
2023,slovenia,6.743
2022,slovenia,6.65
2021,slovenia,6.63
2020,slovenia,6.461
2019,slovenia,6.36339998245239
2018,slovenia,6.118
2017,slovenia,5.948
2016,slovenia,5.758
2015,slovenia,5.768
2024,benin,4.357
2018,somalia,4.668
2017,somalia,4.982
2016,somalia,5.151
2015,somalia,5.44
2015,somaliland region,5.057
2024,somalia,4.347
2023,south africa,5.422
2022,south africa,5.275
2021,south africa,5.194
2020,south africa,4.956
2019,south africa,4.81409978866577
2018,south africa,4.722
2017,south africa,4.724
2016,south africa,4.829
2015,south africa,4.459
2019,south sudan,2.81660008430481
2018,south sudan,2.853
2017,south sudan,3.254
2016,south sudan,3.591
2015,south sudan,3.832
2024,mali,4.345
2023,spain,6.421
2022,spain,6.436
2021,spain,6.476
2020,spain,6.491
2019,spain,6.40089988708496
2018,spain,6.354
2017,spain,6.31
2016,spain,6.403
2015,spain,6.361
2024,cambodia,4.341
2023,sri lanka,3.898
2022,sri lanka,4.442
2021,sri lanka,4.362
2020,sri lanka,4.325
2019,sri lanka,4.3270001411438
2018,sri lanka,4.366
2017,sri lanka,4.471
2016,sri lanka,4.44
2015,sri lanka,4.415
2024,ghana,4.34
2023,state of palestine,4.879
2022,state of palestine,4.908
2021,state of palestine,4.483
2020,state of palestine,4.517
2019,state of palestine,4.55280017852783
2018,state of palestine,4.696
2017,state of palestine,4.743
2016,state of palestine,4.775
2015,state of palestine,4.754
2017,sudan,4.139
2016,sudan,4.139
2015,sudan,4.139
2015,suriname,6.269
2020,eswatini,4.308
2019,eswatini,4.30810022354126
2018,eswatini,4.212
2024,myanmar,4.321
2023,sweden,7.344
2022,sweden,7.395
2021,sweden,7.384
2020,sweden,7.363
2019,sweden,7.35349988937378
2018,sweden,7.343
2017,sweden,7.314
2016,sweden,7.284
2015,sweden,7.291
2024,togo,4.315
2023,switzerland,7.06
2022,switzerland,7.24
2021,switzerland,7.512
2020,switzerland,7.571
2019,switzerland,7.55989980697632
2018,switzerland,7.48
2017,switzerland,7.487
2016,switzerland,7.494
2015,switzerland,7.509
2018,syrian arab republic,3.462
2017,syrian arab republic,3.462
2016,syrian arab republic,3.462
2015,syrian arab republic,3.069
2024,jordan,4.31
2023,taiwan,6.503
2022,taiwan,6.535
2021,taiwan,6.512
2020,taiwan,6.584
2019,taiwan,6.45539999008179
2018,taiwan,6.446
2017,taiwan,6.441
2016,taiwan,6.422
2015,taiwan,6.379
2024,liberia,4.277
2023,tajikistan,5.281
2022,tajikistan,5.33
2021,tajikistan,5.377
2020,tajikistan,5.466
2019,tajikistan,5.55569982528687
2018,tajikistan,5.467
2017,tajikistan,5.352
2016,tajikistan,5.041
2015,tajikistan,4.996
2024,madagascar,4.157
2023,tanzania,3.781
2022,tanzania,3.694
2021,tanzania,3.702
2020,tanzania,3.623
2019,tanzania,3.47620010375977
2018,tanzania,3.231
2017,tanzania,3.303
2016,tanzania,3.349
2015,tanzania,3.666
2024,zambia,3.912
2023,thailand,5.976
2022,thailand,5.843
2021,thailand,5.891
2020,thailand,5.985
2019,thailand,5.9987998008728
2018,thailand,6.008
2017,thailand,6.072
2016,thailand,6.424
2015,thailand,6.474
2024,ethiopia,3.898
2023,togo,4.214
2022,togo,4.137
2021,togo,4.112
2020,togo,4.107
2019,togo,4.18720006942749
2018,togo,4.085
2017,togo,3.999
2016,togo,3.495
2015,togo,3.303
2024,sri lanka,3.891
2019,trinidad and tobago,6.19189977645874
2018,trinidad and tobago,6.192
2017,trinidad and tobago,6.192
2016,trinidad and tobago,6.168
2015,trinidad and tobago,6.168
2024,bangladesh,3.851
2023,tunisia,4.422
2022,tunisia,4.497
2021,tunisia,4.516
2020,tunisia,4.596
2019,tunisia,4.39219999313354
2018,tunisia,4.461
2017,tunisia,4.592
2016,tunisia,4.805
2015,tunisia,5.045
2024,"egypt, arab rep.",3.817
2023,turkiye,4.975
2022,turkiye,4.614
2021,turkiye,4.744
2020,turkiye,4.948
2019,turkiye,5.13180017471313
2018,turkiye,5.373
2017,turkiye,5.483
2016,turkiye,5.5
2015,turkiye,5.389
2021,turkmenistan,5.474
2020,turkmenistan,5.066
2019,turkmenistan,5.11910009384155
2018,turkmenistan,5.247
2017,turkmenistan,5.636
2016,turkmenistan,5.822
2015,turkmenistan,5.658
2024,tanzania,3.8
2023,uganda,4.372
2022,uganda,4.432
2021,uganda,4.603
2020,uganda,4.636
2019,uganda,4.43200016021729
2018,uganda,4.189
2017,uganda,4.161
2016,uganda,4.081
2015,uganda,3.739
2024,eswatini,3.774
2023,ukraine,4.873
2022,ukraine,5.071
2021,ukraine,5.084
2020,ukraine,4.875
2019,ukraine,4.56069993972778
2018,ukraine,4.332
2017,ukraine,4.103
2016,ukraine,4.096
2015,ukraine,4.324
2024,lesotho,3.757
2023,united arab emirates,6.733
2022,united arab emirates,6.571
2021,united arab emirates,6.576
2020,united arab emirates,6.561
2019,united arab emirates,6.79080009460449
2018,united arab emirates,6.825
2017,united arab emirates,6.774
2016,united arab emirates,6.648
2015,united arab emirates,6.573
2024,comoros,3.754
2023,united kingdom,6.749
2022,united kingdom,6.796
2021,united kingdom,6.943
2020,united kingdom,7.064
2019,united kingdom,7.16450023651123
2018,united kingdom,7.054
2017,united kingdom,6.814
2016,united kingdom,6.714
2015,united kingdom,6.725
2024,"yemen, rep.",3.561
2023,united states,6.725
2022,united states,6.894
2021,united states,6.977
2020,united states,6.951
2019,united states,6.93959999084473
2018,united states,6.892
2017,united states,6.886
2016,united states,6.993
2015,united states,7.104
2024,"congo, dem. rep.",3.469
2023,uruguay,6.611
2022,uruguay,6.494
2021,uruguay,6.474
2020,uruguay,6.431
2019,uruguay,6.44010019302368
2018,uruguay,6.293
2017,uruguay,6.379
2016,uruguay,6.454
2015,uruguay,6.545
2024,botswana,3.438
2023,uzbekistan,6.195
2022,uzbekistan,6.014
2021,uzbekistan,6.063
2020,uzbekistan,6.179
2019,uzbekistan,6.25759983062744
2018,uzbekistan,6.174
2017,uzbekistan,6.096
2016,uzbekistan,5.971
2015,uzbekistan,5.987
2024,zimbabwe,3.396
2023,"venezuela, rb",5.607
2022,"venezuela, rb",5.211
2021,"venezuela, rb",4.925
2020,"venezuela, rb",4.892
2019,"venezuela, rb",5.05319976806641
2018,"venezuela, rb",4.707
2017,"venezuela, rb",4.806
2016,"venezuela, rb",5.25
2015,"venezuela, rb",6.084
2024,malawi,3.26
2023,viet nam,6.043
2022,viet nam,5.763
2021,viet nam,5.485
2020,viet nam,5.411
2019,viet nam,5.35349988937378
2018,viet nam,5.175
2017,viet nam,5.103
2016,viet nam,5.074
2015,viet nam,5.061
2024,lebanon,3.188
2023,"yemen, rep.",3.561
2021,"yemen, rep.",4.197
2020,"yemen, rep.",3.658
2019,"yemen, rep.",3.52740001678467
2018,"yemen, rep.",3.38
2017,"yemen, rep.",3.355
2016,"yemen, rep.",3.593
2015,"yemen, rep.",3.724
2024,sierra leone,2.998
2023,zambia,3.502
2022,zambia,3.982
2021,zambia,3.76
2020,zambia,4.073
2019,zambia,3.75939989089966
2018,zambia,4.107
2017,zambia,4.377
2016,zambia,4.514
2015,zambia,4.795
2024,afghanistan,1.364
2023,zimbabwe,3.341
2022,zimbabwe,3.204
2021,zimbabwe,2.995
2020,zimbabwe,3.145
2019,zimbabwe,3.2992000579834
2018,zimbabwe,3.663
2017,zimbabwe,3.692
2016,zimbabwe,3.875
2015,zimbabwe,4.193
